requested_work_id,award_position,award_openalex_id,award_display_name,funder_award_id,funder_openalex_id,funder_display_name,award_doi
W4389073420,12,G7084143925,,AEI/10,F4320335598,Agencia Estatal de Investigación,
W4389073420,13,G7421034968,,PID2021-125823NA-I00,F4320335322,European Regional Development Fund,
W4389073420,14,G8876996369,,N00014,F4320337345,Office of Naval Research,
W4389073420,15,G8953647516,,IT1470-22,F4320335322,European Regional Development Fund,
W4396820428,1,G2569120085,Collaborative Research: CIF: Medium: QODED: Quantum codes Optimized for the Dynamics between Encoded Computation and Decoding using Classical Coding Techniques,2106189,F4320306076,National Science Foundation,
W4400342758,1,G1404049065,,FA9550-21-1-0209,F4320338279,Air Force Office of Scientific Research,
W4400342758,2,G1432373144,,W911NF-21-1-,F4320338281,Army Research Office,
W4400342758,3,G1442400458,QuSeC-TAQS: Nanoscale Covariance Magnetometry with Diamond Quantum Sensors,2326767,F4320306076,National Science Foundation,
W4400342758,4,G1523888516,,FA9550-,F4320338279,Air Force Office of Scientific Research,
W4400342758,5,G1932254719,,HR0011-24-9-0361,F4320332180,Defense Advanced Research Projects Agency,
W4400342758,6,G2882288540,,W911NF2310077,F4320338281,Army Research Office,
W4400342758,7,G3162985271,,W911NF2110325,F4320333591,Multidisciplinary University Research Initiative,
W4400342758,8,G3722242190,,OMA-2137642,F4320338279,Air Force Office of Scientific Research,
W4400342758,9,G431725244,,FA9550-21-1-0209,F4320333591,Multidisciplinary University Research Initiative,
W4400342758,10,G4516736450,,-21-1-,F4320338279,Air Force Office of Scientific Research,
W4400342758,11,G4629941602,QuIC - TaQS: Interconnects for a Superconducting-Atomic Hybrid Quantum Network,2137642,F4320306076,National Science Foundation,
W4400342758,12,G4848018484,,FA9550-23- 1-0338,F4320338279,Air Force Office of Scientific Research,
W4400342758,13,G4876042962,,OMA-1936118,F4320338279,Air Force Office of Scientific Research,
W4400342758,14,G5659690140,,FA9550-19-1-0399,F4320306076,National Science Foundation,
W4400342758,15,G6167497367,,FA9550-19-1-0399,F4320338279,Air Force Office of Scientific Research,
W4400342758,16,G6518383159,,W911NF2110325,F4320338281,Army Research Office,
