"ua_author_names","n"
"Peter Behroozi",5
"Pierre N. Tariot",5
"Praveen Sridhar",5
"Qingyu Zhang",5
"Raina M. Maier",5
"Rajan Pandey",5
"Rebecca Campbell",5
"Renato da Silva Lima",5
"Renu Malhotra",5
"Rifat Latifi",5
"Riley M. O’Neill",5
"Rina S. Fox",5
"Robbert van der Pijl",5
"Robert A. Norwood",5
"Robert B. Fleischman",5
"Robert T. Downs",5
"Ronald B. Gibbs",5
"Sakthivel Sadayappan",5
"Samantha Nagy",5
"Saquib M. Haroon",5
"Satish Rao",5
"Scott S. Berman",5
"Sehliselo Ndlovu",5
"Sen He",5
"Shamar Young",5
"Shamil Saiev",5
"Sima Ehsani",5
"Srinivasan Vedantham",5
"Srujitha Marupuru",5
"Stefan Meinel",5
"Stephen H. Wright",5
"Steve Ertel",5
"Stuart F. Quan",5
"Stuart N. Thomson",5
"Sumedha Uppnor",5
"Sylvia Sullivan",5
"T. F. Eifler",5
"TABATA NAKAGOMI FERNANDES PEREIRA",5
"Talha Riaz",5
"Tejo V. Bheemasetti",5
"Thomas L. Gianetti",5
"Thomas Loudovaris",5
"Tirdad T. Zangeneh",5
"Tommi Koskinen",5
"Trent Anderson",5
"Trisha Fabijanic",5
"Valérie Trouet",5
"Vicky T Lai",5
"Vitaliy Yurkiv",5
"Wander Pinto Ribeiro",5
"Wayne J. Morgan",5
"Weiguo Han",5
"Xianchun Li",5
"Xiaojuan Ni",5
"Yang Song",5
"Yiyang Huang",5
"Yoonhee Jung",5
"Yuanyuan Sun",5
"Zhanette Coffee",5
"A. Brian Mochon",4
"A. Eduardo Sáez",4
"Aaron Bertolo",4
"Abd Assalam Qannus",4
"Abhijit A. Date",4
"Ada M. Wilkinson‐Lee",4
"Adam C. Raikes",4
"Adrián Munguía‐Vega",4
"Aldana Grichener",4
"Aleksander P. J. Ellis",4
"Alicja Babst‐Kostecka",4
"Aman R. Agrawal",4
"Amber Dalke",4
"Aminata Kilungo",4
"Andrew D. Rocha",4
"Andrew T. Fullhart",4
"Angela Greenman",4
"Angelina Anani",4
"Anita A. Koshy",4
"Annie Pico",4
"Asahi Murata",4
"Ashlesha Patil",4
"Ashley Langer",4
"Aurelio José Figueredo",4
"A’mour Canty",4
"B. D. Ganapol",4
"Becka Eckert",4
"Benjamin R. Brady",4
"Benjamin R. Lee",4
"Bernard Parent",4
"Brad H. Story",4
"Bret Pasch",4
"Brian W. Miller",4
"Bryan A. Black",4
"C.Y. Lee",4
"Caden Howlett",4
"Caitlyn Dagenet",4
"Caleb Seekins",4
"Carlos Eduardo Sanches da Silva",4
"Carola G Davila",4
"Catherine E. Fielder",4
"Catherine Seader",4
"Chaohan Cui",4
"Chiu-Hsieh Hsu",4
"Chris Bime",4
"Christian M. Pluchar",4
"Clayton Hui",4
"Colleen Ramsower",4
"Cris Escareno",4
"D. H. Hill",4
"D. M. Thompson",4
"Dan Davini",4
"Daniel Maschmann",4
"Daniel P. Stark",4
"David B. Jordan",4
"David Killick",4
"David L. Dettman",4
"David LeBauer",4
"Dean Billheimer",4
"Deborah A. Meyers",4
"Derek Lemoine",4
"Diaa Eldin M. Elshikha",4
"Diaa Soliman",4
"Dwight Atkinson",4
"E Alexander",4
"Ebo A. Quansah",4
"Eduardo Rozo",4
"Eli Lefkowitz",4
"Elizabeth Hutchinson",4
"Elizabeth S. Borden",4
"Ellis S. Robinson",4
"Emily E. Bray",4
"Emma Heitkamp",4
"Eric W. Mitchell",4
"Erin L. Ratcliff",4
"Eugene R. Bleecker",4
"Faryal Razzaq",4
"Federico Fraschetti",4
"Felina M. Cordova-Marks",4
"Felipe Martín Rodríguez Fuentes",4
"Feng Long",4
"Forrest L. Baker",4
"Frédéric Zenhausern",4
"Gabriele Bozzola",4
"Galen J. Bergsten",4
"Gavin Culwell",4
"Georg T. Wondrak",4
"Giorgio Cipolloni",4
"Giselle Vitcov",4
"Gopal Murali",4
"Gregory L. Heileman",4
"Gregory Nero",4
"Haiquan Li",4
"Hannah C. Tolson",4
"Hannah Korah",4
"Hao Helen Zhang",4
"Hatty Lara",4
"Hayriye Kayı-Aydar",4
"Hongmin Li",4
"Hongxu Ding",4
"Hoshin Gupta",4
"Hossein Rastgoftar",4
"Hrishikesh Joshi",4
"I. J. Ong",4
"I. Matsuyama",4
"ISL NEWS",4
"Iman Ghaderi",4
"Isaac Dennis Amoah",4
"I‐Ting Ho",4
"J. Giacalone",4
"J. L. Russell",4
"Jaclyn B. Champagne",4
"Jacob D. Negrey",4
"Jacob Dahill-Fuchel",4
"James Hollister",4
"Jared M. Churko",4
"Jaren N. Ashcraft",4
"Jason A. Wertheim",4
"Jason Perry",4
"Jason Sandvik",4
"Jeannie K. Lee",4
"Jeffrey D. Michler",4
"Jennifer G. Duan",4
"Jennifer Segar",4
"Jeong Han Lee",4
"Jessie A. Pelosi",4
"Jia Hu",4
"Jianqin Lu",4
"Jinyi Yang",4
"Joanna Rosenbluth",4
"Joe Gregory",4
"Johann Rafelski",4
"John A. Bouranis",4
"John Bass",4
"John E. Smith",4
"Jonathan M. Holmes",4
"Jonathan Rice",4
"Jordan Rubis",4
"Joseph Gunderson",4
"Josh T. L. Anderson",4
"Josheili Y. Llavona-Ortiz",4
"Joshua Malo",4
"Joshua Strom",4
"Joshua Teague",4
"José Guillen-Rodriguez",4
"José Melchor Medina Quintero",4
"José R. Soto",4
"Julie Edwards",4
"Justin Starren",4
"K. Kwoh",4
"Kai W. Mcalister",4
"Kai-Uwe Lewandrowski",4
"Katherine Turner",4
"Kathleen E. Rodgers",4
"Kathleen Walker",4
"Katrina M. Dlugosch",4
"Keith R. Dienes",4
"Kennedy Sparling",4
"Kenneth Bottrill",4
"Kevin M. Johnson",4
"Kiran Basava",4
"Koenraad Van Doorslaer",4
"Kory Floyd",4
"Kristian P. Doyle",4
"Laird M. Close",4
"Leah L. Kapa",4
"Leandro Beraldo e Silva",4
"Leong Wai Siu",4
"Lynn M. Carter",4
"M. C. Benner",4
"Mahmoud Abdelnabi",4
"Maliheh Shaban Tameh",4
"Manlin Shao",4
"Margaret J. Pitts",4
"Markus Tuller",4
"Martha S. Hunter",4
"Martin Weinand",4
"Martin Welker",4
"Mary A. Peterson",4
"María Touceda‐Suárez",4
"Matthew A. Lapierre",4
"Matthew M. Mars",4
"Mauricio Ibáñez-Mejía",4
"Megha Padi",4
"Melissa L. Lynn",4
"Melody Glenn",4
"Michael Chertkov",4
"Michael G. Jones",4
"Michael Insel",4
"Michael Malek‐Ahmadi",4
"Michael Mazarei",4
"Michael R. Foley",4
"Michael Stickels",4
"Michael T. Bogan",4
"Michael Worobey",4
"Mihai N. Ducea",4
"Mina Yoo",4
"Mohamed ElKabbash",4
"Mohammed Shafae",4
"Mrinalini Kala",4
"N. Hung",4
"Natalia Restrepo‐Coupé",4
"Natasha Warner",4
"Neda Arad",4
"Neng Fan",4
"Nicole P. Yuan",4
"Nikolay V. Golubev",4
"Nithin Raveendran",4
"Oana Cazacu",4
"Obada Abdulrazzak",4
"Onur Ural Burns",4
"Osaretin Olurotimi",4
"P. A. Troch",4
"P. D. Broxton",4
"Patricia Persaud",4
"Paul Blowers",4
"Paul F. Hill",4
"Paul J. Schofield",4
"Paul Larson",4
"Paul Victor Santiago Raj",4
"Paulo W. Pires",4
"Peter J. Ehlers",4
"Philip Harber",4
"Philipp Gutruf",4
"Pooja Dhupati",4
"Pooja Rangan",4
"Prajit Dhara",4
"Price Fishback",4
"Priyanka Gurdev Singh",4
"Qin M. Chen",4
"R. Jason Jones",4
"Rachel Sadler",4
"Ralph F. Fregosi",4
"Rebecca M. Crocker",4
"Renae D. Mayes",4
"Renee Hebbeler-Clark",4
"Richard D. Lane",4
"Ricklie Julian",4
"Rini Desai",4
